tableName,attributeName,dataType,domain,nullable,isUnique,isPrimary,foreignReference,purpose
trainingcourse,courseName,varchar(120),Text up to the implemented varchar(120) size.,NO,Y,N,,Human-readable name used for the trainingcourse record.
trainingcourse,courseProvider,varchar(120),Text up to the implemented varchar(120) size.,NO,N,N,,Records the course provider of the trainingcourse.
trainingcourse,trainingCategory,"enum('SAFETY','SUSTAINABILITY','TECHNICAL','WELLBEING','OTHER')","Permitted values: safety, sustainability, technical, wellbeing, other.",NO,N,N,,Records the training category of the trainingcourse.
trainingcourse,renewalMonths,smallint unsigned,Numeric value within the implemented MySQL type.,YES,N,N,,Records the renewal months of the trainingcourse.
trainingcourse,isMandatory,tinyint(1),TRUE/FALSE; default 0.,NO,N,N,,TRUE/FALSE indicator for is mandatory on the trainingcourse record.
trainingsession,trainingSessionId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a trainingsession record.
trainingsession,trainingCourseId,char(7),Text up to the implemented char(7) size.,NO,N,N,trainingcourse.trainingCourseId,Identifies the related trainingcourse record.
trainingsession,sessionDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the trainingsession record or validity period.
trainingsession,operationalAreaId,char(6),Text up to the implemented char(6) size.,YES,N,N,operationalarea.operationalAreaId,Identifies the related operationalarea record.
trainingsession,trainerName,varchar(100),Text up to the implemented varchar(100) size.,NO,N,N,,Human-readable name used for the trainingsession record.
trainingsession,deliveryMode,"enum('INPERSON','ONLINE','BLENDED')","Permitted values: inperson, online, blended.",NO,N,N,,Records the delivery mode of the trainingsession.
vineyard,vineyardId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,,Stable identifier for a vineyard record.
vineyard,vineyardName,varchar(80),Text up to the implemented varchar(80) size.,NO,Y,N,,Human-readable name used for the vineyard record.
vineyard,areaHectares,"decimal(6,2)",Positive decimal hectares.,NO,N,N,,Records the area hectares of the vineyard.
vineyard,latitude,"decimal(9,6)",Decimal latitude from -90 to 90.,NO,N,N,,Records the latitude of the vineyard.
vineyard,longitude,"decimal(9,6)",Decimal longitude from -180 to 180.,NO,N,N,,Records the longitude of the vineyard.
vineyard,managerId,char(7),Text up to the implemented char(7) size.,NO,Y,N,employee.employeeId,Identifies the related employee record.
vineyard,addressId,char(8),Text up to the implemented char(8) size.,NO,Y,N,address.addressId,Identifies the related address record.
vineyardplanting,vineyardId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,vineyard.vineyardId,Identifies the related vineyard record.
vineyardplanting,vintageYear,year,Valid MySQL year value.,NO,Y,Y,,Records the vintage year of the vineyardplanting.
vineyardplanting,grapeVarietyId,char(7),Text up to the implemented char(7) size.,NO,N,N,grapevariety.grapeVarietyId,Identifies the related grapevariety record.
vineyardplanting,plantedDate,date,Valid MySQL date value.,YES,N,N,,Date associated with the vineyardplanting record or validity period.
wellbeingaction,wellbeingActionId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a wellbeingaction record.
wellbeingaction,wellbeingCheckinId,char(8),Text up to the implemented char(8) size.,NO,N,N,wellbeingcheckin.wellbeingCheckinId,Identifies the related wellbeingcheckin record.
wellbeingaction,actionDescription,varchar(500),Text up to the implemented varchar(500) size.,NO,N,N,,Business description of the wellbeingaction record.
wellbeingaction,targetDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the wellbeingaction record or validity period.
wellbeingaction,completedDate,date,Valid MySQL date value.,YES,N,N,,Date associated with the wellbeingaction record or validity period.
wellbeingaction,actionStatus,"enum('OPEN','INPROGRESS','COMPLETED','CANCELLED')","Permitted values: open, inprogress, completed, cancelled.",NO,N,N,,Records the action status of the wellbeingaction.
wellbeingcheckin,wellbeingCheckinId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a wellbeingcheckin record.
wellbeingcheckin,employeeId,char(7),Text up to the implemented char(7) size.,NO,N,N,employee.employeeId,Identifies the related employee record.
wellbeingcheckin,managerId,char(7),Text up to the implemented char(7) size.,NO,N,N,employee.employeeId,Identifies the related employee record.
wellbeingcheckin,checkinDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the wellbeingcheckin record or validity period.
wellbeingcheckin,concernRaisedFlag,tinyint(1),TRUE/FALSE.,NO,N,N,,TRUE/FALSE indicator for concern raised flag on the wellbeingcheckin record.
wellbeingcheckin,confidentialNote,varchar(1000),Text up to the implemented varchar(1000) size.,YES,N,N,,Restricted wellbeing note; excluded from routine management reporting.
wellbeingtopic,wellbeingTopicId,char(6),Text up to the implemented char(6) size.,NO,Y,Y,,Stable identifier for a wellbeingtopic record.
wellbeingtopic,topicName,varchar(80),Text up to the implemented varchar(80) size.,NO,Y,N,,Human-readable name used for the wellbeingtopic record.
wine,wineId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,,Stable identifier for a wine record.
wine,wineName,varchar(100),Text up to the implemented varchar(100) size.,NO,Y,N,,Human-readable name used for the wine record.
wine,vintageYear,year,Valid MySQL year value.,NO,Y,N,,Records the vintage year of the wine.
wine,wineCategoryId,char(5),Text up to the implemented char(5) size.,NO,N,N,winecategory.wineCategoryId,Identifies the related winecategory record.
wine,alcoholPercent,"decimal(4,2)","Numeric percentage greater than 0 and no more than 100, except alcohol is capped at 25 as implemented.",NO,N,N,,Records the alcohol percent of the wine.
wine,winemakerId,char(7),Text up to the implemented char(7) size.,NO,N,N,employee.employeeId,Identifies the related employee record.
winecategory,wineCategoryId,char(5),Text up to the implemented char(5) size.,NO,Y,Y,,Stable identifier for a winecategory record.
winecategory,categoryName,varchar(40),Text up to the implemented varchar(40) size.,NO,Y,N,,Human-readable name used for the winecategory record.
winecomposition,wineId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,wine.wineId,Identifies the related wine record.
winecomposition,grapeVarietyId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,grapevariety.grapeVarietyId,Identifies the related grapevariety record.
winecomposition,proportionPercent,"decimal(5,2)","Numeric percentage greater than 0 and no more than 100, except alcohol is capped at 25 as implemented.",NO,N,N,,Percentage contribution of a grape variety to a wine composition.
wineproduct,productId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,,Stable identifier for a wineproduct record.
wineproduct,wineId,char(7),Text up to the implemented char(7) size.,NO,Y,N,wine.wineId,Identifies the related wine record.
wineproduct,bottleTypeId,char(7),Text up to the implemented char(7) size.,NO,Y,N,bottletype.bottleTypeId,Identifies the related bottletype record.
wineproduct,caseQuantity,smallint unsigned,Positive numeric value.,NO,Y,N,,Quantity recorded for the wineproduct transaction or inventory fact.
wineproduct,isActive,tinyint(1),TRUE/FALSE; default 1.,NO,N,N,,TRUE/FALSE indicator for is active on the wineproduct record.
